"Id" "Designator" "Footprint" "Quantity" "Designation" "LCSC" 
1 "C1, C2, C7" "C_0402" 3 "10nF"   
2 "C3, C4, C5, C6, C12, C13, C15, C19, C20, C21, C22, C23, C25, C26, C27, C69, C74, C312, C313, C701, C702, C703, C704, C705, C706, C800, C900" "C_0402" 27 "100nF"   
3 "C8, C9" "C_0402" 2 "18pF"   
4 "C10, C11" "C_0402" 2 "22pF"   
5 "C16, C17" "C_0402" 2 "2.2uF"   
6 "C24" "C_0603" 1 "10uF"   
7 "C28, C29" "C_0402" 2 "33pF"   
8 "C30, C31, C32, C33, C34, C35" "C_0805" 6 "10uF"   
9 "C36, C37, C902" "C_0402" 3 "10uF"   
10 "C38, C39" "C_0805" 2 "220nF"   
11 "C40" "C_0805" 1 "100nF"   
12 "C41, C42, C45, C46, C47" "C_0805" 5 "22uF"   
13 "C43" "C_0402" 1 "47pF"   
14 "C44" "C_0402" 1 "4.7nF"   
15 "C49, C50" "CP_Elec_10x10" 2 "100uF"   
16 "C700, C904" "C_0402" 2 "1uF"   
17 "D1" "D_SOD-123FL" 1 "SMF58CA"   
18 "D3, D4, D5" "D_SMB" 3 "SS510B"   
19 "D6, D301, D700, D701" "D_0603" 4 "Red"   
20 "FB401" "FB_0603" 1 "~"   
21 "J1" "DIN41612_C2_3x16_Female_Vertical_THT" 1 "86093488324755V1LF"   
22 "J2" "AMASS_XT60PW-M_1x02_P7.20mm_Horizontal" 1 "AMASS XT60"   
23 "J7" "AMASS_XT60PW-F_1x02_P7.20mm_Horizontal" 1 "AMASS XT60"   
24 "J800" "USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal" 1 "USB_C_Receptacle_USB2.0_16P"   
25 "L1" "L_Sunlord_MWSA1005S" 1 "YSPI1050-100M"   
26 "Q700" "SOT-23" 1 "MMST3904"   
27 "R1, R2, R3, R4, R707, R713" "R_0402" 6 "220Ω"   
28 "R5, R6, R7" "R_0402" 3 "33kΩ"   
29 "R8, R9" "R_0402" 2 "5.1kΩ"   
30 "R10, R14, R15, R26, R28, R29, R30, R500, R501, R701, R703, R705, R709, R802, R804, R805, R807" "R_0402" 17 "10kΩ"   
31 "R12, R13, R22, R710, R714" "R_0402" 5 "100Ω"   
32 "R16, R17, R704, R708, R715, R716, R902, R903, R906, R907" "R_0402" 10 "22Ω"   
33 "R27, R31, R40, R308" "R_0402" 4 "1kΩ"   
34 "R33, R34, R711" "R_0402" 3 "24.9kΩ"   
35 "R36" "R_0603" 1 "43kΩ"   
36 "R37" "R_0402" 1 "8.2kΩ"   
37 "R38" "R_0402" 1 "12kΩ"   
38 "R39" "R_0603" 1 "240kΩ"   
39 "R700, R702" "R_0402" 2 "100kΩ"   
40 "R712" "R_0402" 1 "1.5kΩ"   
41 "R803, R806" "R_0402" 2 "22kΩ"   
42 "SW3, SW5" "SW-TH_4P-L7.3-TC-6615Z-12.5-260" 2 "TC-6615Z-12.5-260"   
43 "SW4" "SW-TH_SK12D07VG5-1" 1 "SK12D07VG5"   
44 "U1" "LQFP-64_10x10mm_P0.5mm" 1 "STM32F405RGTx"   
45 "U2" "Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias" 1 "TPS54560BDDA"   
46 "U4, U5, U401" "SOT-723" 3 "TPD2EUSB30DRTR-TP"   
47 "U6" "SOIC-8_5.3x5.3mm_P1.27mm" 1 "AT24C256C"   
48 "U15" "SOT-223-3_TabPin2" 1 "AMS1117-3.3"   
49 "U302" "QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm" 1 "CH334P"   
50 "U500, U501" "HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm" 2 "TJA1044GTK_3Z"   
51 "U700" "LQFP-48_7x7mm_P0.5mm" 1 "STM32F103CBTx"   
52 "U801, U802" "UQFN-10_1.4x1.8mm_P0.4mm" 2 "FSUSB42UMX"   
53 "X1" "OSC-SMD_4P-L3.2-W2.5-BL" 1 "X32258MOB4SI"   
54 "X2" "FC-135R_L3.2-W1.5" 1 "Q13FC1350000400"   
55 "Y700" "CRYSTAL-SMD_4P-L3.2-W2.5-BL" 1 "Crystal_GND24"   
56 "Y900" "Crystal_SMD_3225-4Pin_3.2x2.5mm" 1 "Crystal_GND24"   
