Designator,Mid X,Mid Y,Layer,Rotation,Val
J3,194.3,-96.64,bottom,0,Programming header
TP1,161.8,-111.3,bottom,180,TestPoint
TP2,143.1,-112.4,bottom,180,TestPoint
TP3,163.5,-108.6,bottom,180,TestPoint
TP4,139,-108.3,bottom,180,TestPoint
TP5,175.6,-95.8,bottom,90,TestPoint
TP7,160.6,-109.4,bottom,180,TestPoint
TP8,184,-89.75,bottom,180,TestPoint
TP9,193.8,-103.2,bottom,180,TestPoint
TP10,193.8,-107.6,bottom,180,TestPoint
TP11,189.4,-109.6,bottom,180,TestPoint
TP12,189.8,-103.2,bottom,180,TestPoint
TP13,187.6,-102.2,bottom,180,TestPoint
TP14,189.4,-100.6,bottom,180,TestPoint
TP16,103.4,-113.5,bottom,180,TestPoint
TP17,110.2,-110.8,bottom,180,TestPoint
TP18,108.4,-109.4,bottom,180,TestPoint
TP19,111.2,-109,bottom,180,TestPoint
TP20,104.4,-111.2,bottom,180,TestPoint
C1,158.3,-127.2,top,90,10nF
C2,158.3,-121.6,top,-90,10nF
C3,163.85,-110.945,top,90,100nF
C4,135.325,-112.3,top,90,100nF
C5,166,-108.345,top,180,100nF
C6,137.625,-109.6,top,180,100nF
C7,187.9,-121.7,top,90,10nF
C8,162.1,-105.95,top,90,18pF
C9,162.1,-103.95,top,-90,18pF
C10,163.946447,-99.253553,top,-45,22pF
C11,162.546447,-97.853553,top,135,22pF
C12,157.15,-99.9,top,0,100nF
C13,136.401543,-99.936395,top,45,100nF
C15,138.503553,-99.224228,top,-135,100nF
C16,140.6,-102.4,top,135,2.2uF
C17,145.5,-113.1,top,-135,2.2uF
C18,156.146447,-110.646447,top,-45,4.7nF
C19,157.6,-108.05,top,-45,100nF
C20,145.25,-98.25,top,45,100nF
C21,157.546447,-104.746447,top,-45,100nF
C22,141.203553,-105.246447,top,-135,100nF
C23,146.2,-113.8,top,-135,100nF
C24,140.048457,-103.498457,top,135,10uF
C25,187.5,-92.5,top,0,100nF
C26,180.6,-118.1,top,180,100nF
C27,167.0125,-103.735,top,180,100nF
C28,178.7,-100.1,top,0,33pF
C29,178.3,-105,top,180,33pF
C30,104.55,-118.6,top,180,10uF
C31,101.15,-120.6,top,180,10uF
C32,104.55,-120.6,top,180,10uF
C33,101.15,-122.6,top,180,10uF
C34,104.55,-122.6,top,180,10uF
C35,101.15,-116.6,top,180,10uF
C36,137.85,-98.477781,top,-135,10uF
C37,137.05,-100.677781,top,45,10uF
C38,104.55,-116.6,top,180,220nF
C39,101.15,-118.6,top,180,220nF
C40,106.6,-103.2,top,180,100nF
C41,112.4,-109.7,top,-90,22uF
C42,119,-109.7,top,-90,22uF
C43,109.075,-109.37,top,-90,47pF
C44,109.075,-107.37,top,90,4.7nF
C45,116.8375,-109.7,top,-90,22uF
C46,114.6375,-109.7,top,-90,22uF
C47,121.2,-109.7,top,-90,22uF
C49,113.194952,-90.805459,top,0,100uF
C50,129.1325,-108.3,top,180,100uF
C69,180.2,-97.2,top,180,100nF
C74,183.3,-97.2,top,180,100nF
C312,158,-112.4,top,180,100nF
C313,173.4,-114.5,top,0,100nF
C700,194.8,-100.5,top,-90,1uF
C701,183.9,-98.6,top,180,100nF
C702,181.7,-100,top,180,100nF
C703,190.8,-109.1,top,180,100nF
C704,193.8,-100.5,top,-90,100nF
C705,180.2,-106.2,top,-90,100nF
C706,181.7,-103.6,top,180,100nF
C800,186.9,-121.7,top,-90,100nF
C900,180.225,-115.5875,top,0,100nF
C902,180.225,-114.5875,top,0,10uF
C904,178.725,-115.0875,top,-90,1uF
D1,112,-113.8,top,0,SMF58CA
D3,105,-99.6,top,180,SS510B
D4,127.4,-99.9,top,180,SS510B
D5,189.2,-116,top,-90,SS510B
D6,196.99,-121.845,top,0,Red
D301,196.99,-123.6,top,0,Red
D700,196.99,-107.64,top,0,Red
D701,196.93,-109.35,top,180,Red
FB401,136.196447,-98.231334,top,-135,~
H1,103,-86,top,0,M2.5 Mount
H2,195,-86,top,0,M2.5 mount
H3,103,-128,top,0,M2.5 mount
H4,195,-128,top,0,M2.5 mount
J1,129.95,-93.28,top,90,86093488324755V1LF
J2,118.1,-117.85,top,180,AMASS XT60
J7,127.4,-117.85,top,180,AMASS XT60
J8,171.4464,-124.66,top,180,RJ45_LED_Shielded
J9,152.3,-124.66,top,180,RJ45_LED_Shielded
J800,181.7864,-129.4,top,0,USB_C_Receptacle_USB2.0_16P
L1,116.1625,-102.385,top,0,YSPI1050-100M
Q700,196.8,-103.6,top,-90,MMST3904
R1,143.2,-100.6,top,-45,220Ω
R2,158.3,-117.7,top,90,220Ω
R3,178.7,-117.2,top,0,220Ω
R4,142.546447,-101.246447,top,-45,220Ω
R5,158.3,-129.1,top,-90,33kΩ
R6,158.3,-119.6,top,90,33kΩ
R7,188.9,-121.7,top,90,33kΩ
R8,183.1,-119.6,top,90,5.1kΩ
R9,182.1,-119.6,top,90,5.1kΩ
R10,156.8,-110,top,-45,10kΩ
R11,157.446447,-109.346447,top,135,1kΩ
R12,180.6,-120.1,top,180,100Ω
R13,187.5,-93.5,top,0,100Ω
R14,187.5,-91.5,top,0,10kΩ
R15,180.6,-119.1,top,180,10kΩ
R16,175.025001,-112.9875,top,180,22Ω
R17,175.025,-111.9875,top,180,22Ω
R18,175.525,-110.5875,top,-90,22Ω
R19,174.525,-110.5875,top,-90,22Ω
R20,175.5,-108.6,top,90,22Ω
R21,174.5,-108.6,top,90,22Ω
R22,156.1,-100.95,top,180,100Ω
R23,173,-104.2,top,180,10kΩ
R24,171.1,-104.2,top,180,10kΩ
R25,169.2,-104.2,top,180,10kΩ
